,
Penal_ROBO CALIFICADO Y DELINCUENCIA ORGANIZADA,5681
Penal_LESIONES Y DAÑO EN LAS COSAS AMBOS A TITULO DE CULPA,4478
Penal_ROBO CALIFICADO,4322
Penal_HOMICIDIO CALIFICADO,2531
Mercantil_ACCIÓN DE PAGO_CRÉDITOS,1294
Mercantil_ACCIÓN DE PAGO,884
Civil_ACCIÓN REIVINDICATORIA,778
Civil_ACCIÓN RESCISIÓN DE CONTRATO DE ARRENDAMIENTO,696
Civil_ACCIÓN DE DIVORCIO NECESARIO,657
Civil_ACCIÓN DE PAGO,595
Civil_ACCIÓN DE PETICIÓN DE HERENCIA,564
Civil_ACCIÓN DE DIVORCIO,468
Civil_OTRAS,436
Civil_ACCIÓN DE TERMINACIÓN DE CONTRATO DE ARRENDAMIENTO,403
Civil_VENCIMIENTO ANTICIPADO DEL CONTRATO,390
Mercantil_ACCIÓN CAMBIARIA DIRECTA,375
Familiar_DIVORCIO,366
Familiar_MODIFICACIÓN DE ACTAS DEL ESTADO CIVIL_ANOTACIÓN,352
Civil_ACCIÓN DE NULIDAD,340
Civil_ACCIÓN DE DISOLUCIÓN DE VINCULO MATRIMONIAL,337
Civil_ACCIÓN DE NULIDAD DE ESCRITURA,329
Civil_ACCIÓN DE USUCAPIÓN,303
Civil_ACCIÓN HIPOTECARIA,300
Mercantil_ACCIÓN DE RESCISIÓN,299
Civil_ACCIÓN PROFORMA,287
Civil_JUICIO SUCESORIO INTESTAMENTARIO,265
Familiar_MODIFICACIÓN DE ACTAS DEL ESTADO CIVIL_RECTIFICACIÓN,264
Mercantil_TERCERIA EXCLUYENTE DE DOMINIO,256
Penal_DESPOJO DE INMUEBLES,246
Mercantil_ACCIÓN DE CUMPLIMIENTO DE CONTRATO,232
Civil_ACCIÓN DE PAGO DE PENSIÓN ALIMENTICIA,227
Penal_FRAUDE GENERICO,215
Penal_FRAUDE ESPECIFICO,201
Civil_RESCISIÓN ,188
Penal_ABUSO SEXUAL INFANTIL Y VIOLENCIA INTRAFAMILIAR,186
Civil_ACCIÓN DE ANOTACIÓN DE ACTA,183
Civil_JUICIO SUCESORIO TESTAMENTARIO,179
Civil_ACCIÓN DE RECTIFICACIÓN DE ACTA,169
Penal_HOMICIDIO A TITULO DE CULPA GRAVE,161
Familiar_DIVORCIO_CONTENCIOSO,158
Civil_ACCIÓN RESCISIÓN DE CONTRATO DE COMPRAVENTA,146
Penal_LESIONES CALIFICADAS,142
Civil_INTERDICTO DE OBRA NUEVA,131
Civil_ACCIÓN DE CUMPLIMIENTO DE CONTRATO DE COMPRAVENTA,127
Civil_DILIGENCIAS DE INFORMACIÓN AD PERPETUAM,126
Familiar_SUCESORIO_INTESTAMENTARIO,121
Penal_PRIVACION ILEGAL DE LA LIBERTAD ,112
